"identifier","resolves_to","source"
"AAFC","001I9000004pwojIAA","Airtable/GC Forms"
"CATSA","001I90000050b2KIAQ","Airtable/GC Forms"
"CBSA","001I9000004Vt5XIAS","Airtable/GC Forms"
"CIPO","001I90000050aK9IAI","Airtable/GC Forms"
"CRA","001I9000004Vt5ZIAS","Airtable/GC Forms"
"CRTC","001I9000004Vt5hIAC","Airtable/GC Forms"
"ECCC","001I9000004Vt5pIAC","Airtable/GC Forms"
"ESDC","001I9000004Vt5oIAC","Airtable/GC Forms"
"FCAC","001I900000503tyIAA","Airtable/GC Forms"
"GAC","001I9000004Vt5tIAC","Airtable/GC Forms"
"HC","001I9000004Vt5uIAC","Airtable/GC Forms"
"IRCC","001I9000004Vt5wIAC","Airtable/GC Forms"
"ISC","001I9000005HqRoIAK","Airtable/GC Forms"
"ISED","001I9000004Vt5zIAC","Airtable/GC Forms"
"LAC","001I9000004Vt60IAC","Airtable/GC Forms"
"NRCan","001I9000004Vt63IAC","Airtable/GC Forms"
"OSB","001I9000005Ho3zIAC","Airtable/GC Forms"
"PBC","001I900000504ZTIAY","Airtable/GC Forms"
"PC","001I9000004Vt69IAC","Airtable/GC Forms"
"PHAC","001I9000004Vt6AIAS","Airtable/GC Forms"
"PS","001I9000004Vt6CIAS","Airtable/GC Forms"
"PSPC","001I9000004Vt6EIAS","Airtable/GC Forms"
"RCMP","001I9000004Vt6GIAS","Airtable/GC Forms"
"StatCan","001I9000004Vt6IIAS","Airtable/GC Forms"
"TBS","001I9000004Vt6KIAS","Airtable/GC Forms"
"TC","001I9000004Vt6JIAS","Airtable/GC Forms"
"VAC","001I9000004Vt6LIAS","Airtable/GC Forms"
"Canadian Digital Service / Service numérique canadien","001I9000004Vt5oIAC","Airtable/GC Forms"
"Copyright Board Canada / Commission du droit d'auteur Canada","001I900000503tPIAQ","Airtable/GC Forms"
"National Defence / Défense nationale","001I9000004Vt61IAC","Airtable/GC Forms"
"Veterans Affairs Canada / Anciens Combattants Canada","001I9000004Vt6LIAS","Airtable/GC Forms"
"Superintendent of Financial Institutions Canada (Office of the) / Bureau du surintendant des institutions financières Canada","001I9000005DXSKIA4","Airtable/GC Forms"
"Refugees and Citizenship Canada / Immigration","001I9000004Vt5wIAC","Airtable/GC Forms"
"Science and Economic Development Canada / Innovation","001I9000004Vt5zIAC","Airtable/GC Forms"
"Innovation, Science and Economic Development Canada","001I9000004Vt5zIAC","Airtable/GC Forms"
"Innovation, Science, and Economic Development Canada","001I9000004Vt5zIAC","Airtable/GC Forms"
"""Innovation, Science and Economic Development Canada""","001I9000004Vt5zIAC","Airtable/GC Forms"
"""Innovation, Science, and Economic Development Canada""","001I9000004Vt5zIAC","Airtable/GC Forms"
"National Battlefields Commission / Commission des champs de bataille nationaux","001I9000005X2DjIAK","Airtable/GC Forms"
"Health Canada / Santé Canada,Public Health Agency of Canada / Agence de la santé publique du Canada","001I9000004Vt5uIAC","Airtable/GC Forms"
"Office of the Federal Ombudsperson for Victims of Crime","001I9000005Ho3zIAC","Airtable/GC Forms"
